ANO,AreaD,NFocos
2001,"373.300,00","6.300,00"
2002,"1.283.100,00","6.300,00"
2003,"1.942.600,00","5.200,00"
2004,"1.322.900,00","5.200,00"
2005,"1.370.200,00","3.700,00"
2006,"883.200,00","3.700,00"
2007,"2.251.400,00","3.300,00"
2008,"1.188.800,00","3.300,00"
2009,"493.600,00","1.700,00"
2010,"1.376.600,00","1.700,00"
2011,"1.176.600,00","1.800,00"
2012,"1.010.800,00","1.600,00"
2013,"538.700,00","2.300,00"
2014,"1.133.700,00","2.300,00"
2015,"949.000,00","1.400,00"
2016,"648.200,00",600
2017,"838.300,00",700
2018,"462.700,00",900
2019,"999.900,00",800
2020,"873.700,00",700
2021,"1.211.000,00","1.100,00"
2022,"779.000,00","1.100,00"
2023,"650.200,00","1.000,00"